hours,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,90.01666667,62.75928571,131.2016129,84.193,123.9829032,204.4826667,282.523871,423.4154839,282.209,120.6564516,165.9996667,204.3048387
1,84.20222222,55.91428571,120.0196774,77.50166667,111.0541935,181.3263333,249.2048387,383.3893548,238.129,103.876129,146.4723333,187.5325806
2,80.09666667,52.99892857,114.7,79.14233333,106.0212903,167.9966667,236.27,371.1980645,227.771,98.04129032,138.7256667,178.0722581
3,77.20111111,58.46928571,118.7012903,78.58166667,105.856129,155.3486667,213.1874194,336.4148387,223.825,101.9812903,140.073,173.1812903
4,80.06888889,64.30214286,128.5651613,81.85933333,110.0606452,164.1906667,209.5070968,329.9664516,237.1193333,132.9306452,153.7603333,180.2993548
5,87.76444444,86.98714286,147.0180645,96.974,126.2609677,188.8323333,270.3003226,409.1348387,299.415,171.4212903,192.9023333,199.6106452
6,103.3733333,115.2335714,224.3770968,132.0876667,173.9370968,239.4466667,325.7854839,466.9180645,394.225,220.2464516,245.0213333,235.0987097
7,122.0777778,124.4407143,283.1264516,168.3376667,214.0993548,258.1453333,371.726129,541.6241935,450.1723333,255.0354839,253.32,283.953871
8,127.14,141.1107143,264.2245161,170.756,221.2341935,264.7546667,359.4725806,540.9629032,460.5436667,272.6751613,261.0856667,311.4222581
9,140.1344444,135.9632143,200.3016129,145.25,198.896129,239.4596667,331.0719355,521.2658065,424.95,233.1574194,260.9576667,315.81
10,139.0277778,128.0892857,159.8403226,130.465,175.9967742,222.8146667,313.1935484,503.3429032,394.7283333,212.0103226,255.3466667,309.6748387
11,140.7933333,122.1746429,149.0674194,114.736,171.4445161,208.707,302.5516129,501.1722581,361.1503333,191.746129,256.0186667,309.2790323
12,146.3222222,115.4985714,138.886129,109.8276667,167.47,216.3843333,302.3480645,502.937,335.9303333,179.7845161,244.7263333,303.9983871
13,140.07,112.4360714,128.7896774,106.5363333,147.2425806,205.498,258.7006452,470.0474194,306.126,170.0548387,247.254,298.3232258
14,144.8455556,110.7160714,131.6703226,93.38633333,143.1741935,195.101,256.0019355,447.2126667,315.3916667,176.7545161,267.9926667,306.4951613
15,156.2677778,113.4807143,147.7590323,92.36666667,145.7012903,195.626,266.4948387,469.9,352.366,197.503871,281.9213333,314.196129
16,162.8177778,129.6357143,164.2383871,100.176,153.0083871,211.9163333,262.91,447.6912903,384.6756667,211.3951613,293.038,325.6112903
17,184.1877778,145.3157143,203.2122581,119.046,176.5670968,238.7476667,291.6463333,509.6233333,424.181,238.2364516,283.0366667,335.4183871
18,182.0177778,145.2507143,242.2677419,137.1176667,202.4132258,258.137,339.4725806,567.2403226,478.2406667,273.7470968,276.3483333,323.4064516
19,157.7066667,130.9703571,229.386129,166.398,224.2783871,296.1643333,397.6525806,586.9377419,536.3616667,295.5464516,270.3323333,306.1932258
20,145.0477778,107.3071429,191.4487097,168.3236667,222.9693548,282.756,400.5696774,571.4280645,472.4286667,234.7006452,238.7543333,277.9783871
21,135.5444444,96.64392857,172.0332258,134.2053333,208.2287097,272.2363333,370.2880645,543.4067742,407.2503333,188.9309677,226.4363333,251.7309677
22,126.0488889,88.855,160.6977419,112.7896667,186.7112903,266.485,363.3674194,486.5064516,342.8773333,144.9119355,189.858,221.2809677
23,102.5677778,69.205,130.416129,94.99333333,136.4693548,221.1866667,296.1483871,427.3854839,282.3233333,121.7751613,149.732,189.8216129
